nom_barrage,apports_journaliers,id_barrage,lachers_journaliers,stock_actuel,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moyenne_mensuelle_apports,cumul_apports_annee_prec,moyenne_periode,stock_annee_prec,capacite_totale_actuelle,altitude_niveau_eau,capacite_totale_initiale,etat,annee_mise_en_service,Latitude,Longitude,Bassin_versant,Date,taux_remplissage,année,region
sarrat,0.967936,36,0.021964,7.33682,1.47167,7.82327,0.800216,1.57089,1.382,2.30557,13.0724,4.63142,21.0,546.0,21.0,1.0,2016,35.8322,8.4434,1850.0,2025-04-21,34.9372380952381,2025,Kef
benmetir,1.01601,2,0.0432,43.3335,2.57366,24.0307,0.9072,12.6693,4.65287,27.7648,40.2414,40.704,60.393,436.5,61.63,1.0,1954,36.7471,8.7419,103.0,2025-04-21,71.75252098753167,2025,Bizerte
kasseb,0.237924,3,0.0648,25.7872,3.15705,25.4361,1.3608,14.8662,3.88401,23.5776,40.9281,22.4685,76.9,292.04,81.875,1.0,1968,36.7614,9.0024,101.0,2025-04-21,33.533420026007796,2025,Bizerte
barbara,1.65523,4,1.21752,62.6619,5.6213,49.9577,3.35033,38.6338,8.57463,68.206,78.9808,59.0965,60.545,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2025-04-21,103.49640763068793,2025,Jendouba
sidisalem,1.78118,5,0.0432,129.92,15.7827,82.1847,0.90108,76.4737,45.272,119.735,351.075,235.169,580.348,115.0,814.0,1.0,1981,36.5907,9.3971,7950.0,2025-04-21,22.386568059164503,2025,Béja
bouheurtma,0.938749,6,0.03014,52.9025,4.30394,43.2585,1.12143,37.2798,8.32129,48.9843,75.1066,69.9107,145.037,221.0,150.5,1.0,1976,36.6719,8.78758,390.0,2025-04-21,36.47517530009584,2025,Jendouba
joumine,0.0764114,7,0.097418,26.2902,2.62361,32.9863,2.08761,18.9049,6.67555,28.6816,71.4662,31.5835,118.773,90.0,129.9,1.0,1983,36.9909,9.6137,418.0,2025-04-21,22.134828622666767,2025,Bizerte
ghezala,0.00902793,8,0.0031,2.19216,0.126654,2.27723,0.019824,0.019824,0.955746,2.70213,8.91946,2.84171,10.004,82.5,11.7,1.0,1984,37.0594,9.5458,48.0,2025-04-21,21.91283486605358,2025,Bizerte
melah,0.0360893,33,0.0,10.104,0.642333,9.42214,0.0,0.0,1.57,10.8658,24.199,5.833,41.0,136.0,41.0,1.0,2015,37.0761,9.4488,85.9,2025-04-21,24.643902439024387,2025,Bizerte
tine,0.0242557,34,0.0,3.0463,0.0944584,2.83831,0.0,0.0,1.39,2.44555,16.303,3.643,34.0,136.0,34.0,1.0,2017,36.864,9.6287,276.0,2025-04-21,8.959705882352942,2025,Bizerte
sejnane,0.401334,9,0.837193,62.6777,3.09295,63.7573,16.3509,135.231,6.74178,49.0796,115.289,42.8634,132.59,86.5,137.5,1.0,1994,37.181,9.4751,367.0,2025-04-21,47.271815370691606,2025,Bizerte
zarga,0.659151,10,0.746484,24.652,2.27777,20.7132,0.866964,1.18574,2.08,18.166,20.736,21.844,24.256,93.0,24.0,1.0,2012,36.8824,8.6992,60.0,2025-04-21,101.6325857519789,2025,Zaghouan
kebir,1.00711,31,0.0,42.7502,2.94967,27.9022,0.0,11.5034,0.804585,19.6232,35.9187,28.52,64.4,85.0,64.4,1.0,2014,36.8802,8.7211,85.2,2025-04-21,66.38229813664596,2025,Nabeul
moula,0.44644,32,0.0,19.544,1.51811,19.8241,0.08159,8.08648,0.59641,10.875,30.0683,20.192,26.337,110.0,26.3,1.0,2013,36.9347,8.845,58.0,2025-04-21,74.20738884459126,2025,Jendouba
selbarrak,2.36057,11,0.6912,205.542,11.4398,199.996,13.486,105.744,21.6344,125.391,283.872,130.914,286.514,27.0,286.514,1.0,1999,37.0244,8.93652,865.0,2025-04-21,71.73890281103192,2025,Sidi Bouzid
ziatine,0.0409911,12,0.039447,16.786,0.430242,14.2197,0.501382,5.99967,2.35,9.65681,27.495,13.7691,33.3,37.0,33.0,1.0,2012,37.1856,9.2011,95.0,2025-04-21,50.40840840840841,2025,Béja
gamgoum,0.0663201,13,0.022,9.23553,0.271937,4.41703,0.63,3.972,0.154951,2.99967,7.882,13.6086,18.3,48.0,18.3,1.0,2012,37.1989,9.2679,35.5,2025-04-21,50.46737704918033,2025,Siliana
harka,0.0928329,35,0.0,13.4069,0.362388,6.94649,0.0,0.0,1.42,5.22802,22.854,9.1243,30.3,38.4,30.3,1.0,2016,37.222,9.4024,77.0,2025-04-21,44.24719471947195,2025,Siliana
siliana,0.0715064,14,0.0,9.09966,0.554481,6.29908,0.0,0.2189,3.07689,4.336,31.3291,6.51585,30.986,388.5,70.0,1.0,1987,36.1571,9.3521,1040.0,2025-04-21,29.36700445362422,2025,Siliana
lakhmess,0.0214381,15,3.6e-05,1.92686,0.199282,1.1106,0.000843,0.015408,1.48475,0.609166,10.4674,1.52223,7.22,517.06,8.22,1.0,1966,35.9994,9.4752,127.0,2025-04-21,26.68781163434903,2025,Sidi Bouzid
rmil,0.0007056,16,0.0,0.7134,0.0533743,0.700124,0.0,0.0,0.582374,0.415235,9.60268,0.5938,2.0,285.0,4.0,1.0,2002,36.3023,9.5019,232.0,2025-04-21,35.67,2025,Kasserine
birmcherga,0.0728114,17,0.0012,10.2677,0.317445,7.30612,0.0252,0.48512,2.54987,6.58803,23.7076,11.7513,41.599,122.5,52.9,1.0,1971,36.5119,10.0102,1263.0,2025-04-21,24.68256448472319,2025,Zaghouan
rmel,0.0250383,18,0.01075,21.0372,0.180237,26.545,0.22575,1.72561,1.02624,6.10044,15.2558,2.83478,23.825,43.0,22.0,1.0,1998,36.3308,10.3584,675.0,2025-04-21,88.29884575026232,2025,Kasserine
nebhana,0.00914202,19,0.00617,6.10741,0.226674,5.61228,0.093486,0.382683,1.84899,1.43962,19.6678,2.53174,64.61,230.0,86.5,1.0,1965,36.06,9.8724,855.0,2025-04-21,9.452731775266985,2025,Mahdia
sidisaad,0.00451468,20,0.0,22.5705,1.15407,5.6995,0.066108,0.066108,2.67582,3.52613,36.8097,26.6322,133.317,270.0,209.0,1.0,1981,35.3902,9.6948,8950.0,2025-04-21,16.929948918742543,2025,Kairouan
elhaouareb,0.0654502,21,0.0,1.13559,1.33155,7.05973,0.015985,0.028406,0.880421,0.197086,13.1513,0.00576132,77.47,217.0,0.0,1.0,1989,35.5727,9.7468,1120.0,2025-04-21,1.4658448431650963,2025,Kairouan
sficifa,0.0,22,0.0,1.97806,0.300989,0.919438,0.0,0.0,0.0109432,0.405834,1.18175,1.71246,7.71,677.8,4.24,1.0,2005,35.3413,9.0705,173.65,2025-04-21,25.655771725032423,2025,Kairouan
sidiach,0.0,23,0.0,0.0,0.0280088,0.407372,0.0,0.022,0.0245687,0.323955,1.47158,1.337,88.0,541.0,88.0,1.0,1997,34.7468,8.7476,1900.0,2025-04-21,0.0,2025,Kairouan
elbrek,0.000558056,24,0.0,0.07,0.0283429,1.36293,0.0,0.02,0.00478571,0.174761,2.02535,0.06,14.6,849.0,16.0,1.0,2002,35.4705,8.9677,293.0,2025-04-21,0.4794520547945206,2025,Nabeul
bezirk,0.000248656,25,0.0,2.8758,0.00782025,3.2505,0.0,0.042,0.385796,0.214226,4.57981,0.1749,5.01,54.62,6.5,1.0,1959,36.7195,10.6272,86.0,2025-04-21,57.40119760479042,2025,Kairouan
